panel,scope,method,budget,tau_b,top_k_overlap,full_top_k_set_size,subset_top_k_set_size,pairwise_direction_agreement,calibrated_score_mae,repository_coverage,baseline_percentile
standardized-bash,all_systems,temporal_coreset,250,0.8411582311380664,0.8333333333333334,6,5,0.9245283018867925,0.015291379275531602,10,0.314
standardized-bash,all_systems,random,300,0.8933329492023778,0.830031746031746,6.0,5.124,0.9420377358490566,0.008644449534463817,11.434,
standardized-bash,all_systems,repo_stratified_random,300,0.8866295761330807,0.8358214285714286,6.0,5.138,0.938566037735849,0.00852793335938621,12.0,
standardized-bash,all_systems,entropy,300,0.9346202568200738,0.8333333333333334,6,5,0.9622641509433962,0.0061753658069864,12,0.796
standardized-bash,all_systems,temporal_coreset,300,0.8785430414108694,0.8333333333333334,6,5,0.9433962264150944,0.007353810888252144,12,0.434
standardized-bash,all_systems,random,400,0.9300933364466473,0.8475714285714285,6.0,5.132,0.9635094339622642,0.005373654392372505,11.756,
standardized-bash,all_systems,repo_stratified_random,400,0.928046228683461,0.8555714285714285,6.0,5.154,0.9624528301886793,0.005491346510895859,12.0,
standardized-bash,all_systems,entropy,400,0.9816498172140429,0.8333333333333334,6,5,1.0,0.0064594508062805304,12,0.954
standardized-bash,all_systems,temporal_coreset,400,0.8705196492275474,0.8333333333333334,6,5,0.9433962264150944,0.004937265818637283,12,0.128
standardized-bash,all_systems,random,450,0.9533856263259586,0.8617142857142858,6.0,5.174,0.9769811320754717,0.0035869605242871126,11.874,
standardized-bash,all_systems,repo_stratified_random,450,0.9564232049404865,0.8643333333333334,6.0,5.186,0.9785283018867924,0.00359541496534647,12.0,
standardized-bash,all_systems,entropy,450,0.9446064278852111,0.8333333333333334,6,5,0.9811320754716981,0.002545454545454588,12,0.408
standardized-bash,all_systems,temporal_coreset,450,0.9159278516836723,0.8333333333333334,6,5,0.9622641509433962,0.0019893354597390056,12,0.166
standardized-bash,all_systems,random,475,0.9667299074040975,0.8733333333333334,6.0,5.24,0.9833207547169811,0.002449947087370065,11.932,
standardized-bash,all_systems,repo_stratified_random,475,0.9679015615067539,0.8746666666666667,6.0,5.248,0.984188679245283,0.0024070146970890023,12.0,
standardized-bash,all_systems,entropy,475,0.9346202568200738,0.8333333333333334,6,5,0.9622641509433962,0.0014545454545454861,12,0.164
standardized-bash,all_systems,temporal_coreset,475,0.9809506363438459,1.0,6,6,0.9622641509433962,0.001305320664926784,12,0.492
standardized-bash,all_systems,random,500,1.0,1.0,6.0,6.0,1.0,0.0,12.0,
standardized-bash,all_systems,repo_stratified_random,500,1.0,1.0,6.0,6.0,1.0,0.0,12.0,
standardized-bash,all_systems,entropy,500,1.0,1.0,6,6,1.0,0.0,12,1.0
standardized-bash,all_systems,temporal_coreset,500,1.0,1.0,6,6,1.0,0.0,12,1.0
standardized-bash,cluster_latest,random,25,0.5610720448556957,0.8134761904761905,5.0,5.41,0.688,0.04854789055677803,7.31,
standardized-bash,cluster_latest,repo_stratified_random,25,0.5531354440665568,0.7999047619047619,5.0,5.448,0.6816,0.04578403690409562,8.0,
standardized-bash,cluster_latest,entropy,25,0.5642880936468347,0.6666666666666666,5,5,0.75,0.03525349544072952,4,0.486
standardized-bash,cluster_latest,temporal_coreset,25,0.4338609156373123,0.6666666666666666,5,5,0.6,0.06729981707676869,7,0.296
standardized-bash,cluster_latest,random,50,0.6556905993948051,0.8276190476190476,5.0,5.296,0.7733,0.03390716790547148,9.12,
standardized-bash,cluster_latest,repo_stratified_random,50,0.6523408287131041,0.8359047619047619,5.0,5.246,0.7747999999999999,0.033318206062804286,10.0,
standardized-bash,cluster_latest,entropy,50,0.65,0.6666666666666666,5,5,0.8,0.018117412737140896,7,0.454
standardized-bash,cluster_latest,temporal_coreset,50,0.85,0.6666666666666666,5,5,0.9,0.015762678100744627,9,0.89
standardized-bash,cluster_latest,random,75,0.6985899872674098,0.8306666666666667,5.0,5.168,0.8141,0.027362958200215958,9.852,
standardized-bash,cluster_latest,repo_stratified_random,75,0.6899348821339876,0.817,5.0,5.19,0.8122999999999999,0.027106434164644023,10.0,
